,gw,manager,entry,points,picks
0,1,Radynster,1,81.5,"(('Sanchez', '2'), ('Veltman', '1'), ('Wan-Bissaka', '12'), ('Estupiñan', '7'), ('Mitoma', '5'), ('Souček', '7'), ('Ndombele', '0'), ('Eze', '3'), ('João Pedro', '10.5'), ('Haaland', '26'), ('Nketiah', '8'))"
1,1,paradise-prince,2,79.5,"(('Steele', '2'), ('Holgate', '0'), ('Wan-Bissaka', '12'), ('Botman', '5'), ('Rodrigo', '13'), ('Garnacho', '3'), ('Mount', '4.5'), ('Enzo', '1'), ('Haaland', '26'), ('J.Alvarez', '5'), ('Nketiah', '8'))"
2,1,KloppinSquad 2.0,1,77.5,"(('Steele', '2'), ('Estupiñan', '7'), ('Wan-Bissaka', '12'), ('Gabriel', '1.5'), ('Akanji', '6'), ('Rodrigo', '13'), ('Enciso', '1'), ('Chukwuemeka', '1'), ('Martinelli', '5'), ('Kovačić', '3'), ('Haaland', '26'))"
3,1,zbongo,1,77.5,"(('Forster', '0'), ('Dunk', '2'), ('Veltman', '1'), ('Guéhi', '6'), ('Wan-Bissaka', '12'), ('Bowen', '13.5'), ('Mitoma', '5'), ('Casemiro', '3'), ('Rice', '2'), ('Souček', '7'), ('Haaland', '26'))"
4,1,jacquesmieny,1,76.0,"(('Onana', '9'), ('Walker', '6'), ('Gabriel', '1'), ('Stones', '0'), ('Estupiñan', '7'), ('Baldock', '2'), ('Saka', '15'), ('Nakamba', '2'), ('Chukwuemeka', '1'), ('Haaland', '26'), ('João Pedro', '7'))"
5,1,imokstopasking,1,73.5,"(('Leno', '12'), ('Mings', '0'), ('Tarkowski', '2'), ('Guéhi', '6'), ('Botman', '5'), ('Antony', '4.5'), ('March', '9'), ('Reed', '3'), ('Rice', '2'), ('Andreas', '4'), ('Haaland', '26'))"
6,1,MRS T,1,73.0,"(('Steele', '2'), ('Estupiñan', '7'), ('Pinnock', '1'), ('Saliba', '5'), ('Saka', '20'), ('Tonali', '6'), ('Bowen', '9'), ('Luis Díaz', '12'), ('Enciso', '1'), ('Ferguson', '5'), ('Watkins', '5'))"
7,1,swaghettiyolognese14,1,72.5,"(('Leno', '12'), ('Beyer', '1'), ('Botman', '5'), ('Baldock', '2'), ('Saliba', '5'), ('Mitoma', '5'), ('Douglas Luiz', '1'), ('Martinelli', '7.5'), ('Anderson', '1'), ('Haaland', '26'), ('João Pedro', '7'))"
8,1,fpljonnas,1,72.0,"(('Johnstone', '6'), ('Estupiñan', '7'), ('Walker', '6'), ('Saliba', '5'), ('Mbeumo', '7'), ('Richarlison', '3'), ('Garnacho', '3'), ('Saka', '20'), ('Eze', '3'), ('João Pedro', '7'), ('Watkins', '5'))"
9,1,maxreich,1,70.5,"(('Johnstone', '6'), ('Gabriel', '1'), ('Wan-Bissaka', '12'), ('Estupiñan', '7'), ('B.Fernandes', '4.5'), ('Garnacho', '3'), ('Rice', '2'), ('Chukwuemeka', '1'), ('Anderson', '1'), ('Edouard', '7'), ('Haaland', '26'))"
10,1,frankyza,1,69.0,"(('Leno', '12'), ('Botman', '5'), ('Veltman', '1'), ('Wan-Bissaka', '12'), ('Rashford', '6'), ('Saka', '15'), ('Bernardo', '3'), ('Gross', '2'), ('Barnes', '11'), ('Welbeck', '2'), ('Vinícius', '0'))"
11,1,Nico Celento,4,66.5,"(('Johnstone', '6'), ('Chilwell', '7'), ('Estupiñan', '7'), ('Gabriel', '1'), ('Saka', '20'), ('Martinelli', '5'), ('Souček', '7'), ('Rashford', '4.5'), ('Ings', '1'), ('João Pedro', '7'), ('Ogbene', '1'))"
12,1,fpl_chad,1,66.0,"(('Johnstone', '6'), ('Estupiñan', '7'), ('Gabriel', '1'), ('Shaw', '5'), ('Rashford', '6'), ('Saka', '15'), ('Garnacho', '3'), ('Mitoma', '5'), ('Eze', '3'), ('João Pedro', '7'), ('Nketiah', '8'))"
13,1,eksteenvd@yahoo.com,1,65.5,"(('Ederson M.', '6'), ('Botman', '5'), ('Gabriel', '1'), ('Saliba', '5'), ('Van Hecke', '2'), ('Baldock', '2'), ('Richarlison', '2'), ('Rodrigo', '13'), ('Haaland', '26'), ('Welbeck', '2'), ('Ings', '1.5'))"
14,1,keaselebano125,1,65.0,"(('Onana', '9'), ('Gabriel', '1'), ('Veltman', '1'), ('Akanji', '6'), ('Cash', '-1'), ('Foden', '6'), ('B.Fernandes', '3'), ('Bowen', '9'), ('Saka', '15'), ('Wissa', '9'), ('João Pedro', '7'))"
15,1,PLANTBASE FC,1,65.0,"(('Steele', '2'), ('J.Timber', '0'), ('Shaw', '5'), ('Dunk', '2'), ('Saliba', '5'), ('Diogo J.', '2'), ('Mitoma', '5'), ('Saka', '15'), ('João Pedro', '7'), ('Isak', '13'), ('Wissa', '9'))"
16,1,hooverharn,1,64.5,"(('Pickford', '2'), ('Gabriel', '1'), ('Saliba', '5'), ('Botman', '5'), ('Richarlison', '2'), ('Saka', '20'), ('Eze', '3'), ('Mitoma', '7.5'), ('Watkins', '5'), ('João Pedro', '7'), ('Edouard', '7'))"
17,1,legend1111,1,64.5,"(('Pickford', '2'), ('Walker', '6'), ('Gabriel', '1'), ('Estupiñan', '7'), ('Saka', '10'), ('Bowen', '13.5'), ('Rashford', '6'), ('Eze', '3'), ('João Pedro', '7'), ('Edouard', '7'), ('Maupay', '2'))"
18,1,PèdroTop51,1,64.5,"(('Ederson M.', '6'), ('James', '2'), ('Veltman', '1'), ('Perišić', '1'), ('Saka', '20'), ('Casemiro', '3'), ('B.Fernandes', '4.5'), ('Rodrigo', '13'), ('Vinícius', '0'), ('Isak', '13'), ('Antonio', '1'))"
19,1,Milo,1,64.0,"(('Onana', '9'), ('Shaw', '5'), ('Estupiñan', '7'), ('Gabriel', '1'), ('Tarkowski', '2'), ('Dunk', '2'), ('Saka', '15'), ('Rashford', '6'), ('Eze', '3'), ('Mbeumo', '7'), ('João Pedro', '7'))"
20,1,hscherzer,1,63.5,"(('Steele', '2'), ('Gabriel', '1'), ('Estupiñan', '7'), ('Botman', '5'), ('Rashford', '4.5'), ('Mitoma', '5'), ('Saka', '20'), ('Eze', '3'), ('Edouard', '7'), ('João Pedro', '7'), ('Welbeck', '2'))"
21,1,chiefmatt,2,62.5,"(('Onana', '9'), ('Gabriel', '1'), ('Aké', '7'), ('Estupiñan', '7'), ('Rashford', '6'), ('Saka', '10'), ('Mitoma', '5'), ('Eze', '3'), ('João Pedro', '7'), ('Ferguson', '7.5'), ('McAtee', '0'))"
22,1,Emilio24,3,62.5,"(('Pickford', '2'), ('Stones', '0'), ('Gabriel', '1'), ('Estupiñan', '7'), ('Saka', '20'), ('Mitoma', '5'), ('Almirón', '2'), ('Trossard', '1'), ('Casemiro', '3'), ('Maupay', '2'), ('Isak', '19.5'))"
