scoreline,scoreline_odds,contest,Outcome
1-0,20/1,Brentford v Liverpool,Brentford Win
2-0,33/1,Brentford v Liverpool,Brentford Win
2-1,14/1,Brentford v Liverpool,Brentford Win
3-0,65/1,Brentford v Liverpool,Brentford Win
3-1,33/1,Brentford v Liverpool,Brentford Win
3-2,33/1,Brentford v Liverpool,Brentford Win
4-0,125/1,Brentford v Liverpool,Brentford Win
4-1,80/1,Brentford v Liverpool,Brentford Win
4-2,80/1,Brentford v Liverpool,Brentford Win
4-3,100/1,Brentford v Liverpool,Brentford Win
5-0,200/1,Brentford v Liverpool,Brentford Win
5-1,150/1,Brentford v Liverpool,Brentford Win
5-2,150/1,Brentford v Liverpool,Brentford Win
6-0,250/1,Brentford v Liverpool,Brentford Win
6-1,200/1,Brentford v Liverpool,Brentford Win
6-2,200/1,Brentford v Liverpool,Brentford Win
7-0,250/1,Brentford v Liverpool,Brentford Win
7-1,250/1,Brentford v Liverpool,Brentford Win
8-0,250/1,Brentford v Liverpool,Brentford Win
9-0,250/1,Brentford v Liverpool,Brentford Win
0-0,22/1,Brentford v Liverpool,Draw
1-1,17/2,Brentford v Liverpool,Draw
2-2,12/1,Brentford v Liverpool,Draw
3-3,40/1,Brentford v Liverpool,Draw
4-4,125/1,Brentford v Liverpool,Draw
1-0,11/1,Brentford v Liverpool,Liverpool Win
2-0,10/1,Brentford v Liverpool,Liverpool Win
2-1,15/2,Brentford v Liverpool,Liverpool Win
3-0,14/1,Brentford v Liverpool,Liverpool Win
3-1,11/1,Brentford v Liverpool,Liverpool Win
3-2,18/1,Brentford v Liverpool,Liverpool Win
4-0,25/1,Brentford v Liverpool,Liverpool Win
4-1,20/1,Brentford v Liverpool,Liverpool Win
4-2,33/1,Brentford v Liverpool,Liverpool Win
4-3,65/1,Brentford v Liverpool,Liverpool Win
5-0,50/1,Brentford v Liverpool,Liverpool Win
5-1,45/1,Brentford v Liverpool,Liverpool Win
5-2,60/1,Brentford v Liverpool,Liverpool Win
6-0,100/1,Brentford v Liverpool,Liverpool Win
6-1,90/1,Brentford v Liverpool,Liverpool Win
6-2,125/1,Brentford v Liverpool,Liverpool Win
7-0,200/1,Brentford v Liverpool,Liverpool Win
7-1,150/1,Brentford v Liverpool,Liverpool Win
8-0,200/1,Brentford v Liverpool,Liverpool Win
9-0,250/1,Brentford v Liverpool,Liverpool Win
10-0,250/1,Brentford v Liverpool,Liverpool Win
1-0,10/1,Man City v Chelsea,Man City Win
2-0,15/2,Man City v Chelsea,Man City Win
2-1,8/1,Man City v Chelsea,Man City Win
3-0,9/1,Man City v Chelsea,Man City Win
3-1,10/1,Man City v Chelsea,Man City Win
3-2,20/1,Man City v Chelsea,Man City Win
4-0,14/1,Man City v Chelsea,Man City Win
4-1,16/1,Man City v Chelsea,Man City Win
4-2,28/1,Man City v Chelsea,Man City Win
4-3,80/1,Man City v Chelsea,Man City Win
5-0,28/1,Man City v Chelsea,Man City Win
5-1,28/1,Man City v Chelsea,Man City Win
5-2,55/1,Man City v Chelsea,Man City Win
6-0,55/1,Man City v Chelsea,Man City Win
6-1,60/1,Man City v Chelsea,Man City Win
6-2,100/1,Man City v Chelsea,Man City Win
7-0,100/1,Man City v Chelsea,Man City Win
7-1,125/1,Man City v Chelsea,Man City Win
8-0,200/1,Man City v Chelsea,Man City Win
9-0,250/1,Man City v Chelsea,Man City Win
10-0,250/1,Man City v Chelsea,Man City Win
0-0,25/1,Man City v Chelsea,Draw
1-1,10/1,Man City v Chelsea,Draw
2-2,16/1,Man City v Chelsea,Draw
3-3,50/1,Man City v Chelsea,Draw
4-4,150/1,Man City v Chelsea,Draw
1-0,28/1,Man City v Chelsea,Chelsea Win
2-0,55/1,Man City v Chelsea,Chelsea Win
2-1,25/1,Man City v Chelsea,Chelsea Win
3-0,125/1,Man City v Chelsea,Chelsea Win
3-1,60/1,Man City v Chelsea,Chelsea Win
3-2,50/1,Man City v Chelsea,Chelsea Win
4-0,200/1,Man City v Chelsea,Chelsea Win
4-1,150/1,Man City v Chelsea,Chelsea Win
4-2,125/1,Man City v Chelsea,Chelsea Win
4-3,150/1,Man City v Chelsea,Chelsea Win
5-0,250/1,Man City v Chelsea,Chelsea Win
5-1,250/1,Man City v Chelsea,Chelsea Win
5-2,200/1,Man City v Chelsea,Chelsea Win
6-0,250/1,Man City v Chelsea,Chelsea Win
6-1,250/1,Man City v Chelsea,Chelsea Win
6-2,250/1,Man City v Chelsea,Chelsea Win
7-0,250/1,Man City v Chelsea,Chelsea Win
7-1,250/1,Man City v Chelsea,Chelsea Win
8-0,250/1,Man City v Chelsea,Chelsea Win
1-0,16/1,Sheffield Utd v Brighton,Sheffield Utd Win
2-0,28/1,Sheffield Utd v Brighton,Sheffield Utd Win
2-1,14/1,Sheffield Utd v Brighton,Sheffield Utd Win
3-0,65/1,Sheffield Utd v Brighton,Sheffield Utd Win
3-1,40/1,Sheffield Utd v Brighton,Sheffield Utd Win
3-2,40/1,Sheffield Utd v Brighton,Sheffield Utd Win
4-0,150/1,Sheffield Utd v Brighton,Sheffield Utd Win
4-1,100/1,Sheffield Utd v Brighton,Sheffield Utd Win
4-2,100/1,Sheffield Utd v Brighton,Sheffield Utd Win
4-3,125/1,Sheffield Utd v Brighton,Sheffield Utd Win
5-0,250/1,Sheffield Utd v Brighton,Sheffield Utd Win
5-1,200/1,Sheffield Utd v Brighton,Sheffield Utd Win
5-2,200/1,Sheffield Utd v Brighton,Sheffield Utd Win
6-0,250/1,Sheffield Utd v Brighton,Sheffield Utd Win
6-1,250/1,Sheffield Utd v Brighton,Sheffield Utd Win
6-2,250/1,Sheffield Utd v Brighton,Sheffield Utd Win
