perfomance_names,perfomance_odds,contest
Morgan Gibbs-White Perf,20 - 23,Fulham v Nottingham Forest
Neco Williams Perf,16 - 18.5,Fulham v Nottingham Forest
Douglas Luiz Perf,15.5 - 18,Fulham v Nottingham Forest
James McAtee Perf,15.5 - 18,Fulham v Nottingham Forest
Omari Hutchinson Perf,14 - 16.5,Fulham v Nottingham Forest
Murillo Perf,14 - 16.5,Fulham v Nottingham Forest
Igor Jesus Perf,13.5 - 16,Fulham v Nottingham Forest
Callum Hudson-Odoi Perf,13 - 15.5,Fulham v Nottingham Forest
Dan Ndoye Perf,13 - 15.5,Fulham v Nottingham Forest
Nikola Milenkovic Perf,12.5 - 15,Fulham v Nottingham Forest
Morato Perf,11.5 - 14,Fulham v Nottingham Forest
Oleksandr Zinchenko Perf,11 - 13.5,Fulham v Nottingham Forest
Nicolo Savona Perf,10 - 12.5,Fulham v Nottingham Forest
Zach Abbott Perf,9 - 11.5,Fulham v Nottingham Forest
Arnaud Kalimuendo Perf,8.5 - 10.5,Fulham v Nottingham Forest
