PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Ollie Watkins PGM,23 - 26,Ollie Watkins SMM,36 - 42,Aston Villa v Nottingham Forest
Donyell Malen PGM,21 - 24,Donyell Malen SMM,32 - 38,Aston Villa v Nottingham Forest
Morgan Rogers PGM,15 - 18,Morgan Rogers SMM,22 - 27,Aston Villa v Nottingham Forest
Emiliano Buendia PGM,10 - 13,Emiliano Buendia SMM,16 - 20,Aston Villa v Nottingham Forest
John McGinn PGM,9 - 12,John McGinn SMM,13 - 17,Aston Villa v Nottingham Forest
Jadon Sancho PGM,9 - 12,Jadon Sancho SMM,12 - 16,Aston Villa v Nottingham Forest
Youri Tielemans PGM,5 - 8,Youri Tielemans SMM,7 - 10,Aston Villa v Nottingham Forest
Amadou Onana PGM,4 - 7,Amadou Onana SMM,6 - 9,Aston Villa v Nottingham Forest
Matty Cash PGM,3 - 6,Matty Cash SMM,6 - 9,Aston Villa v Nottingham Forest
Ian Maatsen PGM,2.5 - 5,Ian Maatsen SMM,4 - 7,Aston Villa v Nottingham Forest
Ezri Konsa PGM,2 - 4,Ezri Konsa SMM,2.5 - 5,Aston Villa v Nottingham Forest
Boubacar Kamara PGM,2 - 4,Boubacar Kamara SMM,2.5 - 5,Aston Villa v Nottingham Forest
Victor Lindelof PGM,1 - 3,Victor Lindelof SMM,2 - 4,Aston Villa v Nottingham Forest
Lucas Digne PGM,1 - 3,Lucas Digne SMM,2 - 4,Aston Villa v Nottingham Forest
Lamare Bogarde PGM,1 - 3,Lamare Bogarde SMM,2 - 4,Aston Villa v Nottingham Forest
Taiwo Awoniyi PGM,12 - 15,Taiwo Awoniyi SMM,17 - 21,Aston Villa v Nottingham Forest
Igor Jesus PGM,11 - 14,Igor Jesus SMM,17 - 21,Aston Villa v Nottingham Forest
Morgan Gibbs-White PGM,7 - 10,Morgan Gibbs-White SMM,9 - 13,Aston Villa v Nottingham Forest
Callum Hudson-Odoi PGM,6 - 9,Callum Hudson-Odoi SMM,8 - 11,Aston Villa v Nottingham Forest
Omari Hutchinson PGM,4 - 7,Omari Hutchinson SMM,6 - 9,Aston Villa v Nottingham Forest
Elliot Anderson PGM,3 - 6,Elliot Anderson SMM,6 - 9,Aston Villa v Nottingham Forest
Douglas Luiz PGM,2 - 4,Douglas Luiz SMM,2.5 - 5,Aston Villa v Nottingham Forest
Nikola Milenkovic PGM,2 - 4,Nikola Milenkovic SMM,2.5 - 5,Aston Villa v Nottingham Forest
Nicolas Dominguez PGM,2 - 4,Nicolas Dominguez SMM,2.5 - 5,Aston Villa v Nottingham Forest
Nicolo Savona PGM,1 - 3,Nicolo Savona SMM,2 - 4,Aston Villa v Nottingham Forest
Murillo PGM,1 - 3,Murillo SMM,2 - 4,Aston Villa v Nottingham Forest
Neco Williams PGM,1 - 3,Neco Williams SMM,2 - 4,Aston Villa v Nottingham Forest
Morato PGM,0.5 - 2,Morato SMM,1 - 3,Aston Villa v Nottingham Forest
