assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,None,0,0,False,True,0,0,0,0,438098,None,,0,0,-1,1,0.0,790,341,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,772,332,0,0,0,False,0.0,790,341,1,False,0.0,790,341,0,0,0,0,0,0,0,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,133,81,p438098,0,0,None,0,,438098.jpg,0.0,789,341,0,None,False,0,0,Ferreira Vieira,0.0,712,294,False,None,0,0,u,1,3,None,0.0,787,340,0,439,0,2822,0,0.0,0.0,Fábio Vieira,0
2,1997-04-03,6,152,True,True,0,0,2,0.3,205651,None,,0,0,-5,5,119.5,259,30,None,,2,4,0.0,0.0,0,0.52,0.08,3.57,0.54,3.05,5.82,0.87,0.46,Gabriel,0.0,792,83,5,0.75,3,False,52.6,271,31,2,False,154.4,335,32,600,0,0,0,0,0,0,0,Knee injury - Expected back 01 Jun,2025-01-12T22:00:07.802845Z,65,44,20,p205651,0,0,None,0,,205651.jpg,2.5,223,28,0,30,False,0,0.0,Fernando de Jesus,1.1,202,31,False,None,6,0.9,i,1,3,2022-07-04,255.0,124,32,42,1238075,17,1408795,125,0.0,6.5,G.Jesus,4
2,1997-12-19,9,459,True,True,0,0,10,0.38,226597,None,,0,0,2,-2,208.8,185,38,None,,2,2,0.0,0.0,0,1.21,0.05,3.91,0.15,2.70,23.09,0.88,0.1,Gabriel,0.2,416,138,22,0.84,3,False,108.2,111,24,3,False,584.6,72,28,2363,0,0,0,0,0,0,0,Hamstring injury - Unknown return date,2025-04-01T22:00:07.982867Z,62,62,5,p226597,0,0,None,0,,226597.jpg,4.2,40,3,0,30,False,0,0.0,dos Santos Magalhães,13.0,30,11,False,None,28,1.07,i,1,3,2020-09-01,287.0,106,8,117,5092629,41,5334564,13288,0.0,18.9,Gabriel,4
3,1999-06-11,14,340,True,True,0,0,7,0.34,219847,None,,0,0,-3,3,257.0,150,15,None,,1,4,0.0,0.0,0,1.63,0.08,11.02,0.54,9.39,19.00,0.93,0.46,Kai,0.0,796,86,20,0.98,9,False,142.6,65,15,4,False,467.2,136,16,1839,0,0,0,0,0,0,0,Hamstring injury - Expected back 01 Jun,2025-02-12T09:00:08.755570Z,77,13,4,p219847,0,0,3,0,,219847.jpg,4.6,21,9,0,80,False,0,0.0,Havertz,5.8,67,12,False,None,21,1.03,i,1,3,2023-06-28,701.0,30,13,96,2589618,24,3523652,562,0.0,12.5,Havertz,4
0,None,0,0,False,True,0,0,0,0,463748,None,,0,0,0,0,0.0,590,56,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,481,56,0,0,0,False,0.0,606,68,5,False,0.0,606,68,0,0,0,0,0,0,0,0,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,671,56,p463748,0,0,None,0,,463748.jpg,0.0,611,67,0,None,False,0,0,Hein,0.0,641,71,False,None,0,0,u,1,3,None,0.0,551,37,0,0,0,4607,3,0.0,0.0,Hein,0
3,2001-06-17,9,426,True,True,100,100,11,0.41,445122,None,,0,0,2,-2,296.8,124,27,None,,2,2,3.6,0.0,0,1.30,0.05,2.53,0.1,1.23,21.09,0.79,0.05,Jurriën,2.6,140,34,21,0.78,1,False,94.2,144,38,6,False,393.0,170,62,2415,0,0,0,0,0,0,0,,2025-04-01T22:00:08.054376Z,57,100,10,p445122,0,0,None,0,,445122.jpg,3.8,69,12,0,152,False,0,0.0,Timber,7.0,55,19,False,None,27,1.01,a,1,3,2023-07-14,254.0,125,13,114,1940194,5146,1303856,6050,0.5,20.0,J.Timber,7
0,1991-12-20,0,109,True,True,25,25,2,0.26,85955,None,,0,0,-4,4,88.8,295,179,None,,0,3,0.4,0.0,0,0.59,0.08,0.65,0.09,0.06,5.83,0.75,0.01,Jorge Luiz,0.6,332,155,7,0.9,0,False,14.2,408,198,7,False,44.6,429,197,700,0,0,0,0,0,0,0,Rib Injury - 25% chance of playing,2025-04-12T20:00:08.048837Z,46,348,227,p85955,0,0,None,0,,85955.jpg,1.4,398,188,0,106,False,0,0.0,Frello Filho,0.2,365,114,False,None,9,1.16,d,1,3,2023-01-31,8.0,434,223,19,30740,0,50247,67,0.1,4.1,Jorginho,5
0,2000-02-15,0,125,True,True,None,None,2,0.24,440854,None,,0,0,-2,2,55.2,343,111,None,,1,2,4.8,0.0,0,0.23,0.03,0.40,0.05,0.17,8.69,1.03,0.02,Jakub,3.8,71,17,10,1.19,1,False,26.2,360,122,8,False,176.2,309,114,757,0,0,0,0,0,0,0,,None,48,313,40,p440854,0,0,None,0,,440854.jpg,2.5,215,68,0,172,False,0,0.0,Kiwior,2.1,138,53,False,None,6,0.71,a,1,3,2023-01-23,30.0,364,120,32,286083,4165,75047,596,0.8,6.7,Kiwior,0
4,2001-06-18,6,363,True,True,100,100,9,0.42,444145,None,,0,0,-5,5,498.0,65,51,None,,1,3,4.6,0.0,0,3.78,0.17,9.57,0.44,5.79,20.20,0.93,0.27,Gabriel,3.6,82,33,20,0.92,7,False,176.2,36,28,9,False,485.8,128,45,1949,0,0,0,0,0,0,0,,2025-02-06T00:00:08.092348Z,65,46,23,p444145,0,0,None,0,,444145.jpg,3.8,71,32,0,30,False,0,0.0,Martinelli Silva,2.6,121,40,False,None,21,0.97,a,1,3,2019-07-15,777.0,20,10,111,1267102,2706,1334743,980,0.6,17.1,Martinelli,1
2,2007-03-21,4,232,True,True,100,100,4,0.45,499175,None,,0,0,-1,1,231.7,167,115,None,,0,3,4.4,0.0,0,1.64,0.18,2.79,0.31,1.15,4.75,0.53,0.13,Ethan,3.4,88,34,3,0.34,4,False,73.8,194,101,12,False,278.2,236,103,804,0,0,0,0,0,0,0,,2025-01-04T22:00:06.872110Z,44,537,320,p499175,0,0,None,0,,499175.jpg,2.6,190,78,0,241,False,0,0.0,Nwaneri,1.8,148,49,False,None,10,1.12,a,1,3,2022-09-17,228.0,141,90,63,713895,777,540069,2595,0.8,14.3,Nwaneri,1
6,1998-12-17,7,426,True,True,100,100,10,0.44,184029,3,,0,0,-3,3,860.9,10,9,1,,0,3,3.8,0.0,0,6.27,0.28,10.75,0.48,4.48,16.99,0.75,0.2,Martin,2.8,133,58,17,0.75,2,False,173.8,38,29,13,False,430.6,152,59,2036,0,0,0,0,0,0,0,,2024-09-10T00:30:06.311550Z,82,11,8,p184029,0,0,2,0,,184029.jpg,3.5,99,48,0,161,False,0,0.0,Ødegaard,5.2,74,23,False,None,23,1.02,a,1,3,2021-08-20,445.0,64,41,90,1134884,2423,2199045,1724,0.3,11.0,Ødegaard,4
0,1995-09-15,9,512,True,True,100,100,12,0.35,154561,None,,0,0,1,-1,0.7,495,19,None,,2,1,3.6,0.0,0,0.01,0.0,0.01,0.0,0.00,29.01,0.85,0.0,David,2.6,139,13,29,0.85,0,False,68.7,210,12,15,False,685.4,43,11,3060,0,0,0,0,0,0,0,,2025-01-30T11:00:08.979724Z,56,104,1,p154561,0,0,None,0,,154561.jpg,3.8,68,11,0,200,False,77,2.26,Raya Martin,31.8,6,1,False,None,34,1.0,a,1,3,2024-07-04,0.0,792,82,130,3877977,4768,3291142,7347,0.5,23.2,Raya,2
7,1999-01-14,12,547,True,True,100,100,10,0.35,204480,2,,0,0,-3,3,900.1,7,7,2,,0,3,4.2,0.0,0,5.47,0.19,8.14,0.28,2.67,23.87,0.84,0.09,Declan,3.2,103,43,27,0.95,2,False,184.6,27,21,16,False,616.8,64,20,2570,0,0,0,0,0,0,0,,2025-04-09T09:00:07.898311Z,62,57,31,p204480,0,0,None,0,,204480.jpg,3.3,113,54,1,241,False,0,0.0,Rice,3.5,100,32,False,None,30,1.05,a,1,3,2023-07-15,333.0,92,60,105,463209,2533,764272,1632,0.5,16.9,Rice,5
11,2001-09-05,18,478,True,True,100,100,6,0.37,223340,1,,0,0,5,-5,725.2,22,18,None,,4,3,3.4,0.0,0,6.84,0.42,12.72,0.78,5.88,12.87,0.8,0.36,Bukayo,2.4,163,71,17,1.06,6,False,200.6,18,13,17,False,566.4,80,28,1450,0,0,0,0,0,0,0,,2025-04-09T09:00:07.942776Z,105,4,3,p223340,0,0,1,0,,223340.jpg,5.7,9,4,0,241,False,0,0.0,Saka,22.9,12,5,False,None,17,1.06,a,1,3,2018-11-28,715.0,27,16,119,7696550,16550,8507906,26194,0.2,11.3,Saka,3
0,2001-03-24,14,538,True,True,100,100,12,0.38,462424,None,,0,0,6,-6,146.9,234,62,None,,3,2,3.6,0.0,0,1.27,0.04,3.69,0.12,2.42,25.33,0.81,0.08,William,2.6,142,35,25,0.8,2,False,90.2,149,42,18,False,635.8,59,23,2814,0,0,0,0,0,0,0,,2025-01-18T23:00:07.959087Z,66,41,3,p462424,0,0,None,0,,462424.jpg,4.0,53,6,1,73,False,0,0.0,Saliba,32.1,5,1,False,None,32,1.02,a,1,3,2019-07-25,116.0,242,68,127,3967252,10975,4716741,7606,0.4,19.2,Saliba,2
