first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
David,Raya Martín,0,0,79,1710,12,20.3,308.6,0.0,4,326,33.0,9,0,1,35.1,60,GK,13.2
Kepa,Arrizabalaga Revuelta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,41,GK,0.0
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0
Tommy,Setford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,GK,0.0
Gabriel,dos Santos Magalhães,2,2,97,1085,5,64.2,366.4,127.0,16,321,55.6,8,0,1,22.7,65,DEF,14.9
William,Saliba,0,0,53,1174,7,43.9,238.4,22.0,1,251,30.4,6,0,0,11.8,59,DEF,9.0
Riccardo,Calafiori,1,2,77,1256,7,104.8,222.0,219.0,4,287,54.5,9,0,5,7.9,57,DEF,13.5
Jurriën,Timber,2,4,95,1459,10,251.2,332.4,303.0,7,342,88.9,8,0,2,28.6,64,DEF,14.8
Jakub,Kiwior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,DEF,0.0
Myles,Lewis-Skelly,0,0,11,278,5,35.4,27.0,18.0,0,31,8.0,0,0,3,1.6,51,DEF,2.2
Benjamin,White,0,1,23,287,3,77.1,92.2,34.0,3,89,20.3,2,0,0,0.6,51,DEF,4.5
Brayden,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,38,DEF,0.0
Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
Josh,Nichols,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
Bukayo,Saka,4,6,91,1320,8,494.0,358.0,483.0,10,338,133.5,7,0,1,21.7,103,MID,8.8
Martin,Ødegaard,1,2,38,714,6,336.4,187.4,123.0,3,166,64.7,3,0,0,2.3,78,MID,4.9
Noni,Madueke,0,0,17,427,4,132.2,46.6,155.0,0,62,33.3,3,0,0,0.7,68,MID,2.5
Gabriel,Martinelli Silva,1,0,23,408,2,59.7,61.6,148.0,1,64,26.4,2,0,1,0.9,68,MID,3.4
Leandro,Trossard,5,4,77,1042,8,320.6,324.0,337.0,9,265,98.3,5,0,0,2.2,70,MID,11.0
Declan,Rice,2,7,102,1515,11,536.0,437.0,179.0,15,412,115.3,8,0,1,20.1,71,MID,14.4
Mikel,Merino Zazón,3,3,57,921,8,173.4,256.4,173.0,4,203,60.0,4,0,1,2.4,58,MID,9.8
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Christian,Nørgaard,0,0,3,31,1,0.4,14.6,7.0,0,11,2.3,0,0,0,0.1,51,MID,0.6
Ethan,Nwaneri,0,0,8,165,0,22.5,8.6,24.0,0,20,5.4,1,0,0,0.1,50,MID,1.6
Martín,Zubimendi Ibáñez,3,1,69,1590,11,270.0,335.6,142.0,5,325,74.9,9,0,3,2.3,52,MID,13.3
Ismeal,Kabia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Albert,Sambi Lokonga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Kai,Havertz,0,0,1,30,0,0.8,2.8,2.0,0,4,0.6,0,0,0,0.3,73,FWD,0.1
Gabriel,Fernando de Jesus,1,0,7,66,2,6.2,42.2,54.0,0,31,10.2,0,0,1,0.3,64,FWD,1.1
Eberechi,Eze,4,3,66,991,6,158.5,252.4,281.0,6,254,69.1,6,0,0,10.8,74,MID,8.9
Cristhian,Mosquera,0,0,17,429,4,23.2,84.0,8.0,1,85,11.5,1,0,1,0.1,53,DEF,3.2
Viktor,Gyökeres,5,0,50,1161,5,121.5,196.0,418.0,4,172,73.1,8,0,3,9.7,88,FWD,5.7
Max,Dowman,0,1,5,27,0,0.8,1.0,26.0,0,13,2.8,0,0,0,0.3,43,MID,1.2
Andre,Harriman-Annous,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Piero,Hincapié,0,0,33,743,7,40.9,174.6,14.0,2,137,22.9,2,0,2,1.9,54,DEF,6.1
Marli,Salmon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Emiliano,Martínez Romero,0,0,63,1440,16,3.0,338.8,0.0,3,269,34.1,4,0,1,3.5,50,GK,12.6
Marco,Bizot,0,0,9,360,8,0.0,57.6,0.0,0,34,5.8,1,0,2,0.4,42,GK,2.1
Joe,Gauci,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Matty,Cash,3,2,81,1681,19,244.1,373.8,113.0,6,287,73.1,5,0,5,10.0,48,DEF,16.9
Lucas,Digne,0,3,55,1120,12,249.1,212.4,85.0,1,217,54.4,5,0,2,1.6,45,DEF,12.2
Ezri,Konsa Ngoyo,0,0,55,1685,23,67.0,325.2,60.0,2,283,45.5,5,1,0,7.5,44,DEF,12.5
Ian,Maatsen,0,0,17,671,12,134.5,129.8,90.0,0,93,35.6,0,0,1,0.5,42,DEF,4.0
Tyrone,Mings,0,0,24,497,6,44.6,120.2,25.0,1,87,19.0,2,0,0,0.6,43,DEF,5.6
Pau,Torres,0,1,39,952,11,17.3,207.6,26.0,2,176,25.3,3,0,0,0.3,43,DEF,9.1
Andrés,García,0,0,1,30,2,1.4,0.6,0.0,0,-3,0.2,0,0,0,0.2,39,DEF,0.3
Álex,Moreno Lopera,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.7,40,DEF,0.0
Lamare,Bogarde,0,0,20,424,6,37.0,56.0,6.0,3,59,9.8,1,0,4,0.5,40,DEF,5.0
Lino,da Cruz Sousa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,DEF,0.0
Yasin,Özcan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Morgan,Rogers,7,4,98,1777,24,301.6,419.6,383.0,10,347,110.3,5,0,4,29.6,75,MID,13.1
Youri,Tielemans,0,4,42,1042,16,250.8,216.6,122.0,1,238,58.9,2,0,0,0.9,59,MID,7.1
Leon,Bailey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55,MID,0.0
Emiliano,Buendía Stati,4,2,57,747,8,183.5,238.8,164.0,7,188,58.7,2,0,2,0.4,53,MID,10.8
Samuel,Iling-Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
Donyell,Malen,4,2,54,623,10,99.7,182.4,288.0,3,158,56.0,1,0,0,0.7,51,MID,10.6
John,McGinn,3,2,64,1502,21,359.8,225.4,147.0,1,280,73.5,6,0,3,0.8,54,MID,11.9
Ross,Barkley,1,1,15,114,0,33.7,51.8,55.0,0,56,14.0,0,0,0,0.0,48,MID,3.1
Enzo,Barrenechea,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Lewis,Dobbin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Boubacar,Kamara,1,3,58,1329,15,182.4,284.4,66.0,7,267,53.4,4,0,5,0.5,49,MID,11.8
Amadou,Onana,2,0,46,886,11,60.6,242.2,67.0,3,210,37.0,3,0,2,0.8,48,MID,9.6
Ben,Broggio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,MID,0.0
Leander,Dendoncker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Jamaldeen,Jimoh-Aloba,0,0,1,8,0,0.3,0.2,0.0,0,3,0.1,0,0,0,0.1,45,MID,0.2
Kadan,Young,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,43,MID,0.0
Ollie,Watkins,7,2,78,1471,21,160.3,280.8,524.0,8,293,96.4,5,0,1,9.3,86,FWD,9.1
Zépiqueno,Redmond,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,FWD,0.0
Harvey,Elliott,0,0,4,97,2,17.8,8.6,18.0,0,13,4.4,0,0,0,0.2,51,MID,0.8
Jadon,Sancho,0,0,11,238,2,79.4,34.8,95.0,0,38,21.1,0,0,0,0.2,58,MID,1.9
Evann,Guessand,0,2,23,511,9,42.4,75.4,109.0,0,70,22.3,1,0,0,0.0,62,MID,3.7
James,Wright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,39,GK,0.0
Triston,Rowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Bradley,Burrowes,0,0,1,16,1,0.3,0.0,0.0,0,3,0.0,0,0,0,0.1,44,MID,0.2
Sam,Proctor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,39,GK,0.0
Travis,Patterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF,0.0
Victor,Lindelöf,0,1,14,475,9,14.1,83.8,2.0,0,58,10.1,0,0,0,0.1,45,DEF,3.1
George,Hemmings,0,0,1,8,0,1.0,0.0,0.0,0,3,0.1,0,0,0,0.0,45,MID,0.2
Ronnie,Hollingshead,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Leon,Routh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Max,Weiß,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,GK,0.0
Etienne,Green,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0
Václav,Hladký,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GK,0.0
Connor,Roberts,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF,0.0
Kyle,Walker,0,1,43,1651,35,90.5,280.0,22.0,3,121,39.4,3,0,6,1.2,44,DEF,9.8
Hannes,Delcroix,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,38,DEF,0.0
Owen,Dodgson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Hjalmar,Ekdal,0,0,43,1118,23,42.5,250.2,78.0,2,109,37.1,2,0,0,0.9,39,DEF,11.0
Maxime,Estève,0,0,42,1446,35,67.4,340.6,60.0,0,131,47.0,2,0,0,9.2,39,DEF,10.8
Quilindschy,Hartman,0,5,46,1337,28,228.9,305.4,57.0,0,170,59.2,2,0,1,0.9,40,DEF,11.5
