AM_names,AM_odds,contest
Hwang Hee-chan AM,0.5 - 2,Arsenal v Wolves
Emmanuel Agbadou AM,0.25 - 1.5,Arsenal v Wolves
Ladislav Krejci AM,0.25 - 1.5,Arsenal v Wolves
Toti Gomes AM,0.25 - 1.5,Arsenal v Wolves
Yerson Mosquera AM,0.25 - 1.5,Arsenal v Wolves
Tolu Arokodare AM,0.25 - 1.5,Arsenal v Wolves
Dominik Szoboszlai AM,14 - 17,Liverpool v Brighton
Mohamed Salah AM,12 - 15,Liverpool v Brighton
Florian Wirtz AM,11 - 14,Liverpool v Brighton
Hugo Ekitike AM,5 - 8,Liverpool v Brighton
Milos Kerkez AM,4 - 7,Liverpool v Brighton
Alexander Isak AM,4 - 7,Liverpool v Brighton
Alexis MacAllister AM,3 - 6,Liverpool v Brighton
Curtis Jones AM,3 - 6,Liverpool v Brighton
Ryan Gravenberch AM,2.5 - 5,Liverpool v Brighton
Virgil van Dijk AM,1 - 3,Liverpool v Brighton
Yankuba Minteh AM,7 - 10,Liverpool v Brighton
Maxime De Cuyper AM,5 - 8,Liverpool v Brighton
Georginio Rutter AM,4 - 7,Liverpool v Brighton
Diego Gomez AM,3 - 6,Liverpool v Brighton
Ferdi Kadioglu AM,3 - 6,Liverpool v Brighton
Mats Wieffer AM,2 - 4,Liverpool v Brighton
Danny Welbeck AM,1 - 3,Liverpool v Brighton
Joel Veltman AM,1 - 3,Liverpool v Brighton
Jan Paul van Hecke AM,1 - 3,Liverpool v Brighton
Carlos Baleba AM,0.25 - 1.5,Liverpool v Brighton
Mike Tresor AM,7 - 10,Burnley v Fulham
Jaidon Anthony AM,5 - 8,Burnley v Fulham
Marcus Edwards AM,5 - 8,Burnley v Fulham
Oliver Sonne AM,5 - 8,Burnley v Fulham
Jacob Bruun Larsen AM,4 - 7,Burnley v Fulham
Quilindschy Hartman AM,4 - 7,Burnley v Fulham
Lyle Foster AM,4 - 7,Burnley v Fulham
Zian Flemming AM,2.5 - 5,Burnley v Fulham
Armando Broja AM,1 - 3,Burnley v Fulham
Lesley Ugochukwu AM,1 - 3,Burnley v Fulham
Kevin AM,9 - 12,Burnley v Fulham
Samuel Chukwueze AM,9 - 12,Burnley v Fulham
Alex Iwobi AM,8 - 11,Burnley v Fulham
Harry Wilson AM,5 - 8,Burnley v Fulham
Emile Smith Rowe AM,4 - 7,Burnley v Fulham
Timothy Castagne AM,4 - 7,Burnley v Fulham
Raul Jimenez AM,3 - 6,Burnley v Fulham
Joshua King AM,3 - 6,Burnley v Fulham
Kenny Tete AM,2 - 4,Burnley v Fulham
Bukayo Saka AM,24 - 27,Arsenal v Wolves
Martin Odegaard AM,19 - 22,Arsenal v Wolves
Eberechi Eze AM,18 - 21,Arsenal v Wolves
Declan Rice AM,17 - 20,Arsenal v Wolves
Gabriel Martinelli AM,13 - 16,Arsenal v Wolves
Noni Madueke AM,13 - 16,Arsenal v Wolves
Leandro Trossard AM,11 - 14,Arsenal v Wolves
Mikel Merino AM,10 - 13,Arsenal v Wolves
Ethan Nwaneri AM,9 - 12,Arsenal v Wolves
Viktor Gyokeres AM,8 - 11,Arsenal v Wolves
Martin Zubimendi AM,6 - 9,Arsenal v Wolves
Ben White AM,6 - 9,Arsenal v Wolves
Piero Hincapie AM,3 - 6,Arsenal v Wolves
Myles Lewis-Skelly AM,3 - 6,Arsenal v Wolves
Jurrien Timber AM,3 - 6,Arsenal v Wolves
Christian Norgaard AM,2.5 - 5,Arsenal v Wolves
Jhon Arias AM,2.5 - 5,Arsenal v Wolves
Jackson Tchatchoua AM,2 - 4,Arsenal v Wolves
Ki-Jana Hoever AM,2 - 4,Arsenal v Wolves
Hugo Bueno AM,2 - 4,Arsenal v Wolves
David Moller Wolfe AM,1 - 3,Arsenal v Wolves
Jean-Ricner Bellegarde AM,1 - 3,Arsenal v Wolves
Jorgen Strand Larsen AM,1 - 3,Arsenal v Wolves
Joao Gomes AM,0.5 - 2,Arsenal v Wolves
Hwang Hee-chan AM,0.5 - 2,Arsenal v Wolves
Emmanuel Agbadou AM,0.25 - 1.5,Arsenal v Wolves
Ladislav Krejci AM,0.25 - 1.5,Arsenal v Wolves
Toti Gomes AM,0.25 - 1.5,Arsenal v Wolves
Yerson Mosquera AM,0.25 - 1.5,Arsenal v Wolves
Tolu Arokodare AM,0.25 - 1.5,Arsenal v Wolves
Enzo Le Fee AM,7 - 10,Sunderland v Newcastle
Granit Xhaka AM,6 - 9,Sunderland v Newcastle
Trai Hume AM,3 - 6,Sunderland v Newcastle
Chemsdine Talbi AM,3 - 6,Sunderland v Newcastle
Bertrand Traore AM,3 - 6,Sunderland v Newcastle
Chris Rigg AM,2.5 - 5,Sunderland v Newcastle
Brian Brobbey AM,2.5 - 5,Sunderland v Newcastle
Noah Sadiki AM,2 - 4,Sunderland v Newcastle
Daniel Ballard AM,2 - 4,Sunderland v Newcastle
Wilson Isidor AM,1 - 3,Sunderland v Newcastle
Reinildo Mandava AM,1 - 3,Sunderland v Newcastle
Lutsharel Geertruida AM,0.5 - 2,Sunderland v Newcastle
Nordi Mukiele AM,0.5 - 2,Sunderland v Newcastle
Omar Alderete AM,0.5 - 2,Sunderland v Newcastle
Jacob Murphy AM,9 - 12,Sunderland v Newcastle
Anthony Elanga AM,8 - 11,Sunderland v Newcastle
Harvey Barnes AM,8 - 11,Sunderland v Newcastle
Lewis Hall AM,7 - 10,Sunderland v Newcastle
Sandro Tonali AM,7 - 10,Sunderland v Newcastle
Jacob Ramsey AM,6 - 9,Sunderland v Newcastle
Anthony Gordon AM,6 - 9,Sunderland v Newcastle
Bruno Guimaraes AM,4 - 7,Sunderland v Newcastle
Joe Willock AM,4 - 7,Sunderland v Newcastle
Nick Woltemade AM,3 - 6,Sunderland v Newcastle
Lewis Miley AM,3 - 6,Sunderland v Newcastle
Tino Livramento AM,3 - 6,Sunderland v Newcastle
Joelinton AM,1 - 3,Sunderland v Newcastle
Malick Thiaw AM,1 - 3,Sunderland v Newcastle
Dan Burn AM,0.5 - 2,Sunderland v Newcastle
Fabian Schar AM,0.1 - 1,Sunderland v Newcastle
Bruno Fernandes AM,15 - 18,Man Utd v Bournemouth
Bryan Mbeumo AM,14 - 17,Man Utd v Bournemouth
Matheus Cunha AM,9 - 12,Man Utd v Bournemouth
Amad Diallo AM,9 - 12,Man Utd v Bournemouth
Mason Mount AM,6 - 9,Man Utd v Bournemouth
Patrick Dorgu AM,5 - 8,Man Utd v Bournemouth
Diogo Dalot AM,4 - 7,Man Utd v Bournemouth
Joshua Zirkzee AM,3 - 6,Man Utd v Bournemouth
Casemiro AM,2.5 - 5,Man Utd v Bournemouth
Kobbie Mainoo AM,2.5 - 5,Man Utd v Bournemouth
Benjamin Sesko AM,2.5 - 5,Man Utd v Bournemouth
Luke Shaw AM,2 - 4,Man Utd v Bournemouth
Noussair Mazraoui AM,2 - 4,Man Utd v Bournemouth
Manuel Ugarte AM,1 - 3,Man Utd v Bournemouth
Lisandro Martinez AM,1 - 3,Man Utd v Bournemouth
Leny Yoro AM,0.5 - 2,Man Utd v Bournemouth
Ayden Heaven AM,0.5 - 2,Man Utd v Bournemouth
Marcus Tavernier AM,7 - 10,Man Utd v Bournemouth
David Brooks AM,6 - 9,Man Utd v Bournemouth
Adrien Truffert AM,5 - 8,Man Utd v Bournemouth
Antoine Semenyo AM,5 - 8,Man Utd v Bournemouth
Justin Kluivert AM,5 - 8,Man Utd v Bournemouth
Amine Adli AM,3 - 6,Man Utd v Bournemouth
Alex Scott AM,3 - 6,Man Utd v Bournemouth
Alex Jimenez AM,2 - 4,Man Utd v Bournemouth
Evanilson AM,2 - 4,Man Utd v Bournemouth
Enes Unal AM,2 - 4,Man Utd v Bournemouth
Eli Junior Kroupi AM,2 - 4,Man Utd v Bournemouth
James Hill AM,1 - 3,Man Utd v Bournemouth
Marcos Senesi AM,1 - 3,Man Utd v Bournemouth
Tyler Adams AM,1 - 3,Man Utd v Bournemouth
Adam Smith AM,1 - 3,Man Utd v Bournemouth
Bafode Diakite AM,1 - 3,Man Utd v Bournemouth
